                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1609,                 2.2973,                 1.8457,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073684,              0.0019382,              0.0019382
                      2,                 1.2227,                  2.179,                 1.9102,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046945,              0.0037706,              0.0037706
                      3,                 1.1719,                 2.0139,                 1.8494,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.020078,              0.0054747,              0.0054747
                      4,                 1.1659,                 1.9548,                 1.8364,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061863,              0.0061863,              0.0061863
                      5,                 1.0923,                 1.8088,                 1.7565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061863,              0.0061863,              0.0061863
                      6,                  1.053,                 1.6827,                 1.7029,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059618,              0.0059618,              0.0059618
                      7,                 1.0408,                 1.5739,                 1.6741,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057372,              0.0057372,              0.0057372
                      8,                 1.0079,                 1.5074,                 1.6311,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055127,              0.0055127,              0.0055127
                      9,                 0.9859,                 1.4761,                 1.6234,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052881,              0.0052881,              0.0052881
                     10,                0.96542,                 1.4044,                 1.5838,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050635,              0.0050635,              0.0050635
                     11,                0.94954,                 1.3563,                 1.5582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004839,               0.004839,               0.004839
                     12,                0.94213,                 1.3351,                 1.5496,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046144,              0.0046144,              0.0046144
                     13,                0.93451,                 1.2906,                 1.5488,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043899,              0.0043899,              0.0043899
                     14,                0.91375,                 1.2528,                 1.5278,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041653,              0.0041653,              0.0041653
                     15,                0.89802,                 1.2001,                  1.511,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039408,              0.0039408,              0.0039408
                     16,                0.88718,                 1.1818,                 1.4901,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037162,              0.0037162,              0.0037162
                     17,                0.87687,                 1.1633,                 1.4822,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034916,              0.0034916,              0.0034916
                     18,                 0.8683,                 1.1422,                 1.4637,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032671,              0.0032671,              0.0032671
                     19,                0.84291,                 1.0844,                 1.4314,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030425,              0.0030425,              0.0030425
                     20,                0.83951,                 1.0565,                 1.4304,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002818,               0.002818,               0.002818
                     21,                0.83078,                0.97762,                 1.4947,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025934,              0.0025934,              0.0025934
                     22,                0.82305,                0.95354,                 1.4895,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023688,              0.0023688,              0.0023688
                     23,                0.80345,                 0.9115,                 1.4785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021443,              0.0021443,              0.0021443
                     24,                0.78385,                0.85629,                 1.4279,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019197,              0.0019197,              0.0019197
                     25,                0.77302,                0.83453,                 1.4217,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016952,              0.0016952,              0.0016952
                     26,                0.75483,                0.80243,                 1.4197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014706,              0.0014706,              0.0014706
                     27,                0.74141,                0.77323,                 1.3834,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012461,              0.0012461,              0.0012461
                     28,                0.72964,                 0.7475,                 1.3674,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010215,              0.0010215,              0.0010215
                     29,                0.71008,                0.71615,                 1.3432,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00079695,             0.00079695,             0.00079695
                     30,                0.69754,                0.69256,                  1.327,                0.81911,                0.72767,                0.78738,                0.49396,                0.78799,                0.76542,                 1.4773,             0.00057239,             0.00057239,             0.00057239
