                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1972,                   2.95,                 2.2057,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.070223,              0.0033086,              0.0033086
                      2,                 2.2325,                 2.7051,                 2.2487,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039892,              0.0064345,              0.0064345
                      3,                 2.1061,                 2.5538,                   2.14,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093395,              0.0093395,              0.0093395
                      4,                  2.052,                  2.426,                 2.0619,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0093395,              0.0093395,              0.0093395
                      5,                 2.0143,                 2.2906,                 2.0295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0090093,              0.0090093,              0.0090093
                      6,                  1.934,                 2.2171,                 1.9827,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008679,               0.008679,               0.008679
                      7,                 1.8944,                  2.107,                 1.9419,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0083488,              0.0083488,              0.0083488
                      8,                 1.8429,                   2.03,                 1.9172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0080185,              0.0080185,              0.0080185
                      9,                 1.8299,                 1.9284,                  1.851,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0076883,              0.0076883,              0.0076883
                     10,                 1.7815,                 1.9063,                 1.8271,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007358,               0.007358,               0.007358
                     11,                 1.7648,                 1.8365,                 1.8204,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070278,              0.0070278,              0.0070278
                     12,                  1.719,                 1.7693,                 1.8001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066975,              0.0066975,              0.0066975
                     13,                 1.6878,                 1.7211,                 1.7799,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063673,              0.0063673,              0.0063673
                     14,                 1.6782,                 1.6928,                  1.751,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006037,               0.006037,               0.006037
                     15,                 1.6641,                 1.6106,                 1.7248,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057068,              0.0057068,              0.0057068
                     16,                 1.6433,                 1.6048,                 1.7183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053765,              0.0053765,              0.0053765
                     17,                 1.5998,                 1.5479,                 1.6873,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050463,              0.0050463,              0.0050463
                     18,                 1.5975,                  1.515,                 1.6837,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047161,              0.0047161,              0.0047161
                     19,                 1.5877,                 1.4855,                 1.6925,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043858,              0.0043858,              0.0043858
                     20,                 1.5593,                 1.4338,                 1.6574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040556,              0.0040556,              0.0040556
                     21,                 1.5418,                 1.3481,                 1.7396,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037253,              0.0037253,              0.0037253
                     22,                   1.53,                 1.2766,                 1.7337,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033951,              0.0033951,              0.0033951
                     23,                  1.473,                 1.2285,                 1.6881,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030648,              0.0030648,              0.0030648
                     24,                  1.456,                  1.184,                 1.6552,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027346,              0.0027346,              0.0027346
                     25,                 1.4398,                  1.147,                 1.6555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024043,              0.0024043,              0.0024043
                     26,                 1.3897,                 1.0768,                 1.6303,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020741,              0.0020741,              0.0020741
                     27,                 1.3714,                 1.0612,                 1.5981,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017438,              0.0017438,              0.0017438
                     28,                 1.3598,                  1.032,                 1.5935,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014136,              0.0014136,              0.0014136
                     29,                 1.3095,                0.98889,                 1.5435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010833,              0.0010833,              0.0010833
                     30,                  1.298,                0.96598,                  1.541,                0.79156,                0.70047,                 0.7483,                0.46433,                 1.4227,                 1.0002,                 1.6724,             0.00075309,             0.00075309,             0.00075309
