                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2336,                 3.0105,                 1.8269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073214,              0.0019235,              0.0019235
                      2,                 1.2585,                 2.7423,                 1.8821,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  0.046,              0.0037419,              0.0037419
                      3,                 1.2172,                 2.5737,                 1.8126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.018659,              0.0054328,              0.0054328
                      4,                 1.2067,                 2.4801,                 1.7975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060412,              0.0060412,              0.0060412
                      5,                 1.1491,                 2.3436,                 1.7295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060412,              0.0060412,              0.0060412
                      6,                 1.1069,                 2.1524,                 1.6476,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0058216,              0.0058216,              0.0058216
                      7,                 1.0898,                 2.0482,                  1.634,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005602,               0.005602,               0.005602
                      8,                 1.0671,                  1.974,                 1.6163,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053824,              0.0053824,              0.0053824
                      9,                 1.0176,                 1.8656,                 1.5634,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051628,              0.0051628,              0.0051628
                     10,                 1.0054,                 1.7883,                 1.5379,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049432,              0.0049432,              0.0049432
                     11,                 1.0079,                 1.7342,                 1.5422,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047236,              0.0047236,              0.0047236
                     12,                0.97947,                 1.7176,                  1.522,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004504,               0.004504,               0.004504
                     13,                0.97565,                 1.6303,                 1.4974,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042844,              0.0042844,              0.0042844
                     14,                0.96736,                  1.618,                 1.4903,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040648,              0.0040648,              0.0040648
                     15,                0.92963,                 1.5341,                 1.4484,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038452,              0.0038452,              0.0038452
                     16,                0.93507,                 1.5256,                  1.449,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036256,              0.0036256,              0.0036256
                     17,                0.91314,                 1.4712,                 1.4283,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003406,               0.003406,               0.003406
                     18,                0.90571,                 1.4279,                 1.4196,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031864,              0.0031864,              0.0031864
                     19,                0.88483,                 1.4134,                 1.4082,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029669,              0.0029669,              0.0029669
                     20,                0.87577,                 1.3393,                 1.3895,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027473,              0.0027473,              0.0027473
                     21,                0.85439,                 1.2148,                 1.4339,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025277,              0.0025277,              0.0025277
                     22,                0.84728,                 1.1697,                 1.4181,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023081,              0.0023081,              0.0023081
                     23,                0.81986,                 1.1049,                 1.3908,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020885,              0.0020885,              0.0020885
                     24,                0.80159,                 1.0504,                 1.3595,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018689,              0.0018689,              0.0018689
                     25,                0.79589,                  1.032,                 1.3504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016493,              0.0016493,              0.0016493
                     26,                0.77772,                0.98726,                 1.3454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014297,              0.0014297,              0.0014297
                     27,                0.76826,                0.95863,                 1.3184,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012101,              0.0012101,              0.0012101
                     28,                 0.7464,                0.92012,                 1.2971,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099048,             0.00099048,             0.00099048
                     29,                0.72774,                0.88155,                  1.273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00077088,             0.00077088,             0.00077088
                     30,                   0.72,                0.85581,                 1.2691,                0.81359,                0.73283,                0.79726,                0.51117,                0.80248,                0.93597,                  1.397,             0.00055128,             0.00055128,             0.00055128
