                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6933,                 2.9286,                 2.5499,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073277,               0.002173,               0.002173
                      2,                 1.7711,                 2.7695,                 2.6491,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.046109,              0.0042261,              0.0042261
                      3,                 1.7144,                  2.681,                 2.6014,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.018797,              0.0061342,              0.0061342
                      4,                 1.6727,                 2.5413,                 2.5391,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067753,              0.0067753,              0.0067753
                      5,                 1.5816,                 2.3659,                 2.4476,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067753,              0.0067753,              0.0067753
                      6,                 1.5455,                 2.2039,                 2.3876,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065271,              0.0065271,              0.0065271
                      7,                 1.5159,                 2.1019,                 2.3487,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062788,              0.0062788,              0.0062788
                      8,                 1.4545,                 1.9538,                 2.2653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060306,              0.0060306,              0.0060306
                      9,                 1.4455,                 1.9434,                 2.2745,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057824,              0.0057824,              0.0057824
                     10,                 1.4038,                 1.8368,                 2.2017,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055341,              0.0055341,              0.0055341
                     11,                 1.3801,                 1.7598,                 2.1687,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052859,              0.0052859,              0.0052859
                     12,                 1.3753,                 1.7635,                 2.1672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050377,              0.0050377,              0.0050377
                     13,                 1.3444,                 1.6932,                 2.1401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047894,              0.0047894,              0.0047894
                     14,                 1.3253,                 1.6395,                 2.1206,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045412,              0.0045412,              0.0045412
                     15,                 1.3139,                 1.5914,                 2.1023,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004293,               0.004293,               0.004293
                     16,                 1.2948,                 1.5697,                 2.0672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040447,              0.0040447,              0.0040447
                     17,                 1.2749,                 1.5393,                 2.0658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037965,              0.0037965,              0.0037965
                     18,                 1.2587,                 1.4899,                 2.0373,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035483,              0.0035483,              0.0035483
                     19,                 1.2309,                 1.4195,                 2.0033,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0033,                 0.0033,                 0.0033
                     20,                 1.2208,                 1.3985,                  1.999,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030518,              0.0030518,              0.0030518
                     21,                 1.2044,                 1.2701,                 2.0748,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028036,              0.0028036,              0.0028036
                     22,                 1.2008,                 1.2358,                  2.074,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025553,              0.0025553,              0.0025553
                     23,                 1.1585,                 1.1935,                 2.0433,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023071,              0.0023071,              0.0023071
                     24,                 1.1397,                 1.1477,                 1.9857,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020589,              0.0020589,              0.0020589
                     25,                  1.126,                 1.1208,                 1.9943,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018106,              0.0018106,              0.0018106
                     26,                  1.105,                 1.0605,                 1.9751,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015624,              0.0015624,              0.0015624
                     27,                 1.0766,                 1.0218,                 1.9269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013142,              0.0013142,              0.0013142
                     28,                 1.0626,                0.98769,                 1.9087,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010659,              0.0010659,              0.0010659
                     29,                 1.0308,                0.94729,                 1.8774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081772,             0.00081772,             0.00081772
                     30,                 1.0104,                  0.917,                 1.8385,                0.82864,                0.69029,                0.77494,                0.48586,                 1.1331,                0.99735,                 2.0347,             0.00056948,             0.00056948,             0.00056948
