                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71946,                 2.6554,                 1.6227,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.078842,              0.0012599,              0.0012599
                      2,                 0.7599,                 2.4189,                 1.7032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.057363,               0.002451,               0.002451
                      3,                0.76734,                 2.3881,                 1.7407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0358,              0.0035586,              0.0035586
                      4,                0.73768,                 2.2409,                 1.6544,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014155,              0.0045828,              0.0045828
                      5,                0.71532,                 2.1271,                 1.6354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048839,              0.0048839,              0.0048839
                      6,                 0.6911,                 2.0124,                  1.595,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048839,              0.0048839,              0.0048839
                      7,                0.67662,                 1.8609,                 1.5578,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046998,              0.0046998,              0.0046998
                      8,                0.64619,                 1.7449,                 1.4996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045158,              0.0045158,              0.0045158
                      9,                0.64296,                 1.7288,                 1.5084,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043318,              0.0043318,              0.0043318
                     10,                0.62204,                 1.6319,                 1.4694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041477,              0.0041477,              0.0041477
                     11,                0.61956,                  1.593,                 1.4518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039637,              0.0039637,              0.0039637
                     12,                0.61469,                 1.5701,                 1.4445,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037797,              0.0037797,              0.0037797
                     13,                 0.6025,                 1.5146,                 1.4323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035956,              0.0035956,              0.0035956
                     14,                0.59238,                 1.4685,                 1.4106,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034116,              0.0034116,              0.0034116
                     15,                0.58712,                 1.4189,                 1.4042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032276,              0.0032276,              0.0032276
                     16,                0.57733,                 1.3887,                 1.3875,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030435,              0.0030435,              0.0030435
                     17,                0.56904,                 1.3779,                 1.3781,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028595,              0.0028595,              0.0028595
                     18,                0.57209,                 1.3391,                 1.3701,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026755,              0.0026755,              0.0026755
                     19,                0.54837,                  1.253,                 1.3352,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024914,              0.0024914,              0.0024914
                     20,                 0.5476,                 1.2401,                 1.3355,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023074,              0.0023074,              0.0023074
                     21,                0.54559,                 1.1668,                 1.4109,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021234,              0.0021234,              0.0021234
                     22,                0.53562,                 1.1078,                 1.3929,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019393,              0.0019393,              0.0019393
                     23,                0.52382,                 1.0728,                 1.3778,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017553,              0.0017553,              0.0017553
                     24,                0.50821,                 1.0095,                 1.3296,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015713,              0.0015713,              0.0015713
                     25,                0.50972,                0.98978,                 1.3425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013873,              0.0013873,              0.0013873
                     26,                0.49069,                0.94199,                 1.3187,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012032,              0.0012032,              0.0012032
                     27,                0.48305,                0.91844,                 1.3043,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010192,              0.0010192,              0.0010192
                     28,                0.47782,                0.87711,                 1.2913,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00083515,             0.00083515,             0.00083515
                     29,                0.46663,                0.84208,                 1.2611,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065112,             0.00065112,             0.00065112
                     30,                0.45554,                0.81171,                 1.2441,                0.81028,                0.75353,                0.79993,                0.51487,                0.50436,                0.88191,                 1.3723,             0.00046709,             0.00046709,             0.00046709
