                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58389,                 2.1428,                 1.2537,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.074626,              0.0011929,              0.0011929
                      2,                0.61129,                 1.8753,                 1.2945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.048888,              0.0023206,              0.0023206
                      3,                0.59883,                 1.8697,                 1.2951,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.023071,              0.0033693,              0.0033693
                      4,                0.59317,                 1.7566,                 1.2614,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040489,              0.0040489,              0.0040489
                      5,                0.57636,                 1.6618,                 1.2371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040489,              0.0040489,              0.0040489
                      6,                0.57223,                 1.6129,                 1.2187,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039019,              0.0039019,              0.0039019
                      7,                0.54718,                 1.5299,                    1.2,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037549,              0.0037549,              0.0037549
                      8,                0.53672,                 1.4249,                 1.1605,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036078,              0.0036078,              0.0036078
                      9,                0.51588,                 1.3305,                 1.1232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034608,              0.0034608,              0.0034608
                     10,                0.51364,                 1.3509,                 1.1312,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033138,              0.0033138,              0.0033138
                     11,                0.50068,                 1.2546,                 1.1083,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031667,              0.0031667,              0.0031667
                     12,                0.49955,                 1.2293,                  1.111,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030197,              0.0030197,              0.0030197
                     13,                0.48954,                 1.1949,                 1.0846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028727,              0.0028727,              0.0028727
                     14,                0.47987,                 1.1539,                 1.0718,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027257,              0.0027257,              0.0027257
                     15,                0.47552,                 1.1451,                 1.0663,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025786,              0.0025786,              0.0025786
                     16,                 0.4658,                 1.1061,                   1.05,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024316,              0.0024316,              0.0024316
                     17,                 0.4545,                 1.0555,                 1.0342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022846,              0.0022846,              0.0022846
                     18,                0.45418,                 1.0351,                 1.0321,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021376,              0.0021376,              0.0021376
                     19,                0.44857,                 1.0147,                 1.0163,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019905,              0.0019905,              0.0019905
                     20,                0.44304,                0.99504,                 1.0126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018435,              0.0018435,              0.0018435
                     21,                0.43916,                0.93823,                  1.072,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016965,              0.0016965,              0.0016965
                     22,                 0.4347,                0.90321,                 1.0564,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015494,              0.0015494,              0.0015494
                     23,                0.42439,                0.86357,                 1.0437,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014024,              0.0014024,              0.0014024
                     24,                0.41633,                 0.8251,                 1.0167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012554,              0.0012554,              0.0012554
                     25,                0.41096,                 0.8026,                 1.0091,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011084,              0.0011084,              0.0011084
                     26,                0.40383,                0.76651,                 1.0055,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096133,             0.00096133,             0.00096133
                     27,                0.38764,                0.74077,                 0.9776,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008143,              0.0008143,              0.0008143
                     28,                0.38385,                0.71261,                0.97056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066727,             0.00066727,             0.00066727
                     29,                0.38067,                0.69135,                0.96045,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00052024,             0.00052024,             0.00052024
                     30,                0.37374,                0.67539,                0.94897,                 0.8136,                0.74432,                0.81679,                0.52357,                0.40958,                0.72704,                 1.0461,             0.00037321,             0.00037321,             0.00037321
