                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51258,                 2.4146,                 1.5212,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073954,              0.0010881,              0.0010881
                      2,                0.52697,                 2.1109,                 1.5668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.047544,              0.0021169,              0.0021169
                      3,                0.52758,                 2.1039,                 1.5814,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.021062,              0.0030738,              0.0030738
                      4,                0.51126,                  1.943,                 1.5308,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003617,               0.003617,               0.003617
                      5,                0.50007,                 1.8202,                 1.5011,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003617,               0.003617,               0.003617
                      6,                0.49507,                 1.7753,                 1.4739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003486,               0.003486,               0.003486
                      7,                0.48226,                 1.6722,                 1.4497,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003355,               0.003355,               0.003355
                      8,                0.46297,                 1.5718,                 1.4056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032239,              0.0032239,              0.0032239
                      9,                0.44795,                 1.4979,                 1.3677,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030929,              0.0030929,              0.0030929
                     10,                0.44632,                 1.4549,                 1.3589,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029619,              0.0029619,              0.0029619
                     11,                0.43819,                 1.3905,                 1.3427,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028309,              0.0028309,              0.0028309
                     12,                0.43661,                 1.3867,                 1.3456,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026999,              0.0026999,              0.0026999
                     13,                0.42938,                 1.3476,                 1.3378,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025689,              0.0025689,              0.0025689
                     14,                 0.4213,                  1.302,                 1.3105,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024379,              0.0024379,              0.0024379
                     15,                0.41638,                 1.2546,                  1.297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023069,              0.0023069,              0.0023069
                     16,                0.40775,                 1.2226,                 1.2894,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021759,              0.0021759,              0.0021759
                     17,                0.40184,                 1.1762,                 1.2616,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020449,              0.0020449,              0.0020449
                     18,                 0.3986,                 1.1485,                 1.2586,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019139,              0.0019139,              0.0019139
                     19,                0.38607,                 1.1069,                 1.2306,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017828,              0.0017828,              0.0017828
                     20,                0.38649,                  1.098,                  1.235,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016518,              0.0016518,              0.0016518
                     21,                0.37921,                 1.0076,                 1.2896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015208,              0.0015208,              0.0015208
                     22,                0.37257,                 0.9508,                 1.2651,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013898,              0.0013898,              0.0013898
                     23,                 0.3621,                0.92222,                  1.254,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012588,              0.0012588,              0.0012588
                     24,                0.35534,                0.88107,                 1.2192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011278,              0.0011278,              0.0011278
                     25,                0.35313,                0.86694,                  1.221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099678,             0.00099678,             0.00099678
                     26,                0.34458,                0.82325,                 1.2145,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00086578,             0.00086578,             0.00086578
                     27,                0.33522,                0.78359,                 1.1831,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00073477,             0.00073477,             0.00073477
                     28,                0.32847,                0.75717,                 1.1694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00060376,             0.00060376,             0.00060376
                     29,                0.32409,                0.72623,                  1.157,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00047275,             0.00047275,             0.00047275
                     30,                 0.3184,                0.71348,                  1.143,                0.83031,                0.74477,                0.80382,                0.51556,                0.36016,                 0.8183,                 1.2823,             0.00034174,             0.00034174,             0.00034174
