                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0639,                 3.0247,                 2.6824,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073188,              0.0025613,              0.0025613
                      2,                 1.1134,                 2.8527,                   2.79,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.045905,              0.0049814,              0.0049814
                      3,                 1.0667,                 2.6709,                 2.7124,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.018452,              0.0072305,              0.0072305
                      4,                  1.028,                 2.5446,                 2.6305,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0078566,              0.0078566,              0.0078566
                      5,                0.98067,                 2.3731,                 2.5459,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0078566,              0.0078566,              0.0078566
                      6,                  0.957,                 2.1967,                  2.479,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0075688,              0.0075688,              0.0075688
                      7,                0.93473,                 2.1344,                 2.4374,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007281,               0.007281,               0.007281
                      8,                0.90402,                  1.997,                 2.3673,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0069932,              0.0069932,              0.0069932
                      9,                0.89838,                 1.9877,                 2.3702,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067054,              0.0067054,              0.0067054
                     10,                0.87284,                 1.8528,                 2.3067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0064176,              0.0064176,              0.0064176
                     11,                0.85932,                 1.7917,                   2.27,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061298,              0.0061298,              0.0061298
                     12,                0.84708,                 1.7579,                 2.2456,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     13,                0.84241,                 1.7012,                 2.2433,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055542,              0.0055542,              0.0055542
                     14,                0.81138,                 1.6438,                 2.1918,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052664,              0.0052664,              0.0052664
                     15,                0.79931,                 1.5581,                 2.1739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049786,              0.0049786,              0.0049786
                     16,                0.79526,                 1.5377,                 2.1567,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046908,              0.0046908,              0.0046908
                     17,                0.79222,                 1.5186,                 2.1629,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004403,               0.004403,               0.004403
                     18,                0.78589,                 1.4866,                 2.1344,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041152,              0.0041152,              0.0041152
                     19,                0.76343,                 1.4122,                 2.0936,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038274,              0.0038274,              0.0038274
                     20,                0.75118,                 1.3699,                 2.0736,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035396,              0.0035396,              0.0035396
                     21,                0.74795,                 1.2568,                 2.1651,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032518,              0.0032518,              0.0032518
                     22,                0.73639,                 1.2348,                 2.1419,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002964,               0.002964,               0.002964
                     23,                0.71342,                 1.1691,                 2.1143,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026762,              0.0026762,              0.0026762
                     24,                0.70083,                 1.1154,                 2.0553,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023884,              0.0023884,              0.0023884
                     25,                0.69674,                 1.0739,                 2.0544,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021006,              0.0021006,              0.0021006
                     26,                0.67751,                  1.039,                  2.042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018128,              0.0018128,              0.0018128
                     27,                0.66148,                0.99446,                 1.9858,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001525,               0.001525,               0.001525
                     28,                0.64948,                0.96728,                 1.9645,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012372,              0.0012372,              0.0012372
                     29,                0.63048,                0.92342,                  1.931,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094938,             0.00094938,             0.00094938
                     30,                0.62183,                0.89007,                 1.9089,                0.81339,                0.70729,                0.77576,                0.48601,                0.70737,                  1.012,                 2.1229,             0.00066158,             0.00066158,             0.00066158
