                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0141,                 2.9144,                 1.7545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073805,              0.0018811,              0.0018811
                      2,                 1.0704,                 2.7509,                 1.8547,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.047192,              0.0036593,              0.0036593
                      3,                 1.0333,                  2.573,                 1.7908,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.020455,              0.0053129,              0.0053129
                      4,                 0.9924,                 2.3564,                 1.7075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060414,              0.0060414,              0.0060414
                      5,                 0.9652,                 2.2717,                 1.6703,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060414,              0.0060414,              0.0060414
                      6,                0.93249,                 2.1116,                 1.6276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0058218,              0.0058218,              0.0058218
                      7,                 0.9063,                 2.0053,                 1.5905,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056023,              0.0056023,              0.0056023
                      8,                0.88499,                 1.9408,                 1.5734,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053828,              0.0053828,              0.0053828
                      9,                 0.8685,                 1.8531,                 1.5485,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051632,              0.0051632,              0.0051632
                     10,                0.83892,                 1.7564,                 1.5127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049437,              0.0049437,              0.0049437
                     11,                0.82919,                 1.7294,                 1.4937,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047241,              0.0047241,              0.0047241
                     12,                   0.82,                 1.6562,                 1.4905,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045046,              0.0045046,              0.0045046
                     13,                0.80315,                 1.6077,                 1.4537,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004285,               0.004285,               0.004285
                     14,                0.80373,                 1.5374,                 1.4422,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040655,              0.0040655,              0.0040655
                     15,                0.77977,                 1.4858,                 1.4182,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003846,               0.003846,               0.003846
                     16,                0.78004,                 1.4912,                 1.4088,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036264,              0.0036264,              0.0036264
                     17,                0.76625,                 1.4435,                 1.4073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034069,              0.0034069,              0.0034069
                     18,                0.74236,                 1.3782,                 1.3766,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031873,              0.0031873,              0.0031873
                     19,                0.73491,                 1.3606,                 1.3612,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029678,              0.0029678,              0.0029678
                     20,                0.73433,                  1.323,                 1.3676,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027483,              0.0027483,              0.0027483
                     21,                0.72906,                 1.2287,                 1.4251,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025287,              0.0025287,              0.0025287
                     22,                0.71677,                 1.1657,                 1.4019,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023092,              0.0023092,              0.0023092
                     23,                0.69994,                 1.1127,                 1.3869,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020896,              0.0020896,              0.0020896
                     24,                0.68118,                 1.0493,                 1.3416,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018701,              0.0018701,              0.0018701
                     25,                0.68118,                  1.036,                 1.3431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016506,              0.0016506,              0.0016506
                     26,                0.66164,                0.98301,                 1.3295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001431,               0.001431,               0.001431
                     27,                0.64454,                0.94252,                 1.2985,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012115,              0.0012115,              0.0012115
                     28,                0.63786,                0.91223,                 1.2915,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00099193,             0.00099193,             0.00099193
                     29,                0.61664,                0.86765,                 1.2682,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00077239,             0.00077239,             0.00077239
                     30,                 0.6082,                0.84811,                 1.2542,                0.85419,                0.71598,                0.79934,                0.50482,                0.68499,                0.95532,                  1.382,             0.00055285,             0.00055285,             0.00055285
